,0,1,2
0,0.0,2049.0,2048.0
1,1.0,2050.0,2.0
2,3.0,2051.0,2052.0
3,4.0,2053.0,7.0
4,5.0,2054.0,8.0
5,6.0,2055.0,2056.0
6,9.0,2062.0,2057.0
7,10.0,4111.0,2058.0
8,11.0,2064.0,12.0
9,13.0,2065.0,2059.0
10,14.0,2066.0,2061.0
11,15.0,4112.0,2063.0
12,16.0,2068.0,17.0
13,18.0,2069.0,2067.0
14,19.0,2070.0,2071.0
15,20.0,2074.0,25.0
16,21.0,2075.0,26.0
17,22.0,2077.0,27.0
18,23.0,2079.0,28.0
19,24.0,2083.0,2073.0
20,29.0,2086.0,30.0
21,34.0,2087.0,31.0
22,37.0,2088.0,32.0
23,39.0,2089.0,33.0
24,41.0,2090.0,2078.0
25,45.0,2091.0,35.0
26,47.0,2092.0,36.0
27,50.0,2093.0,2081.0
28,57.0,46.0,38.0
29,59.0,2096.0,2084.0
30,66.0,2097.0,40.0
31,67.0,52.0,42.0
32,72.0,2100.0,43.0
33,74.0,2102.0,44.0
34,77.0,2104.0,2094.0
35,83.0,2106.0,48.0
36,86.0,2107.0,49.0
37,95.0,2108.0,51.0
38,96.0,2111.0,2099.0
39,97.0,2112.0,53.0
40,99.0,2113.0,54.0
41,104.0,2114.0,55.0
42,111.0,2115.0,56.0
43,112.0,68.0,2101.0
44,121.0,2116.0,58.0
45,125.0,70.0,2103.0
46,128.0,2117.0,60.0
47,137.0,2118.0,61.0
48,152.0,2119.0,62.0
49,153.0,2120.0,63.0
50,158.0,75.0,64.0
51,160.0,76.0,65.0
52,163.0,2121.0,2105.0
53,164.0,78.0,2109.0
54,165.0,2122.0,2110.0
55,170.0,2123.0,69.0
56,174.0,2124.0,71.0
57,177.0,82.0,73.0
58,182.0,2125.0,79.0
59,187.0,2127.0,80.0
60,189.0,85.0,81.0
61,214.0,2128.0,84.0
62,219.0,2129.0,2134.0
63,220.0,2130.0,87.0
64,222.0,2131.0,88.0
65,223.0,2132.0,89.0
66,225.0,2133.0,90.0
67,233.0,2135.0,91.0
68,235.0,93.0,92.0
69,240.0,2136.0,4188.0
70,242.0,2137.0,94.0
71,255.0,2138.0,4191.0
72,257.0,2139.0,2145.0
73,259.0,98.0,100.0
74,262.0,2140.0,101.0
75,287.0,2141.0,102.0
76,295.0,2142.0,103.0
77,304.0,2143.0,4196.0
78,311.0,2144.0,105.0
79,347.0,2146.0,106.0
80,354.0,2147.0,107.0
81,357.0,2148.0,108.0
82,362.0,2149.0,109.0
83,365.0,117.0,110.0
84,374.0,119.0,4205.0
85,382.0,124.0,113.0
86,389.0,126.0,114.0
87,403.0,129.0,115.0
88,408.0,131.0,116.0
89,419.0,134.0,2162.0
90,427.0,135.0,118.0
91,428.0,162.0,4214.0
92,445.0,166.0,120.0
93,450.0,169.0,122.0
94,470.0,172.0,123.0
95,475.0,179.0,127.0
96,476.0,183.0,130.0
97,478.0,184.0,132.0
98,499.0,188.0,133.0
99,502.0,190.0,4228.0
100,503.0,197.0,4231.0
101,535.0,199.0,136.0
102,538.0,203.0,4233.0
103,562.0,204.0,138.0
104,570.0,208.0,139.0
105,572.0,212.0,140.0
106,578.0,215.0,141.0
107,591.0,226.0,142.0
108,606.0,229.0,143.0
109,658.0,236.0,144.0
110,665.0,237.0,145.0
111,667.0,245.0,146.0
112,671.0,247.0,147.0
113,672.0,250.0,148.0
114,673.0,252.0,149.0
115,674.0,254.0,150.0
116,675.0,258.0,151.0
117,677.0,269.0,154.0
118,678.0,273.0,155.0
119,679.0,275.0,156.0
120,680.0,279.0,157.0
121,681.0,280.0,159.0
122,682.0,281.0,161.0
123,683.0,284.0,4257.0
124,686.0,288.0,167.0
125,687.0,292.0,168.0
126,688.0,294.0,4265.0
127,691.0,296.0,171.0
128,692.0,301.0,173.0
129,693.0,306.0,175.0
130,696.0,309.0,176.0
131,697.0,314.0,4273.0
132,698.0,316.0,178.0
133,699.0,317.0,180.0
134,701.0,318.0,181.0
135,702.0,319.0,4276.0
136,703.0,320.0,4278.0
137,704.0,322.0,185.0
138,705.0,324.0,186.0
139,706.0,325.0,2235.0
140,707.0,326.0,4284.0
141,708.0,328.0,191.0
142,709.0,329.0,192.0
143,710.0,331.0,193.0
144,711.0,332.0,194.0
145,712.0,333.0,195.0
146,713.0,334.0,196.0
147,714.0,335.0,2239.0
148,715.0,336.0,198.0
149,717.0,338.0,4295.0
150,718.0,339.0,200.0
151,719.0,340.0,201.0
152,720.0,341.0,202.0
153,722.0,342.0,4297.0
